Filename,Generated Description,True Category,Predicted Category,Max Similarity,Match
audio/bus-lisbon-1059-40082-a.wav,"It is the sound of a vehicle or motor vehicle (road), likely a bus, with engine idling and also includes the sound of a clock ticking.",bus,bus,0.45613357,Yes
audio/airport-stockholm-10-447-a.wav,This is the sound of a city environment during the day.,airport,metro,0.27549815,No
audio/metro-paris-49-1510-a.wav,This is the sound of a bus door opening and closing.,metro,bus,0.48538244,No
audio/metro_station-milan-1117-43284-a.wav,This is the sound of an engine idling.,metro_station,bus,0.21270382,No
audio/bus-barcelona-16-648-a.wav,It is the sound of a vehicle engine idling.,bus,bus,0.20264968,Yes
audio/street_traffic-lyon-1110-43214-a.wav,This is a sound of a car passing by at a moderate speed.,street_traffic,street_traffic,0.3344031,Yes
audio/airport-helsinki-4-201-a.wav,"This is a low quality, noisy, and mono recording of people murmuring in a crowded indoor space.",airport,street_traffic,0.23311731,No
audio/street_traffic-stockholm-173-5314-a.wav,This is the sound of a car passing by at a moderate speed.,street_traffic,street_traffic,0.32216996,Yes
audio/metro-stockholm-56-1656-a.wav,A bus running on the road.,metro,bus,0.73898846,No
audio/public_square-paris-116-3387-a.wav,"This is a recording of a park. There are sounds of people walking and talking, birds chirping, and a dog barking.",public_square,park,0.5016593,No
audio/park-lisbon-1104-42980-a.wav,This is a recording of birds chirping in the background while a man is speaking in the foreground.,park,park,0.16424341,Yes
audio/street_traffic-prague-1193-45586-a.wav,This is the sound of a truck's engine idling.,street_traffic,bus,0.24816379,No
audio/metro-lyon-1206-44910-a.wav,This is the sound of a crowd in a room.,metro,bus,0.20399958,No
audio/park-london-96-2687-a.wav,This is an amateur recording of birds chirping in the background while a dog barks nearby.,park,street_traffic,0.1820293,No
audio/public_square-paris-251-7525-a.wav,This is a recording of an outdoor environment with a machine running in the background. There is also the sound of a bird chirping and the wind blowing.,public_square,street_traffic,0.19648422,No
audio/metro-stockholm-55-1639-a.wav,It is the sound of a train running on railroad tracks passing by.,metro,tram,0.30000797,No
audio/street_traffic-lyon-1029-41652-a.wav,The sound is of traffic in the distance.,street_traffic,street_traffic,0.482306,Yes
audio/street_pedestrian-prague-1085-43483-a.wav,This is a recording of a crowd in a large European city. The crowd is quietly talking and there is the occasional cough.,street_pedestrian,street_traffic,0.19569942,No
audio/public_square-paris-118-3466-a.wav,Horse hooves clicking and snorting.,public_square,park,0.15125674,No
audio/metro-helsinki-222-6758-a.wav,"It is the sound of rail transport, specifically a subway or metro or underground.",metro,metro_station,0.40018737,No
audio/street_traffic-stockholm-174-5372-a.wav,"
This is the sound of a car passing by at a moderate speed.",street_traffic,street_traffic,0.32216996,Yes
audio/metro_station-vienna-86-2356-a.wav,This is a recording of a crowded indoor environment where many children are talking and playing.,metro_station,public_square,0.22071673,No
audio/park-prague-1185-45741-a.wav,This is the sound of water flowing and bubbling.,park,tram,0.15913726,No
audio/street_pedestrian-lisbon-1004-42754-a.wav,"This is a recording of a female singing in a foreign language with a sad mood. In the background, there is the sound of a crowd murmuring.",street_pedestrian,metro_station,0.11163869,No
audio/park-barcelona-89-2455-a.wav,This audio contains birds chirping and a dog barking in the distance.,park,park,0.15121353,Yes
audio/public_square-stockholm-121-3567-a.wav,This is an amateur recording of birds chirping in the background while a car horn honks nearby.,public_square,street_traffic,0.2639036,No
audio/bus-paris-27-929-a.wav,It is the sound of a bus moving on the road.,bus,bus,0.6366615,Yes
audio/shopping_mall-vienna-140-4273-a.wav,This is the sound of an elevator.,shopping_mall,tram,0.36237192,No
audio/metro_station-barcelona-61-1851-a.wav,This is the sound of an elevator in a building.,metro_station,tram,0.32527286,No
audio/street_pedestrian-london-263-7977-a.wav,"This is a recording of a park. There are sounds of people walking and talking, birds chirping, and a dog barking.",street_pedestrian,park,0.5016593,No
audio/metro-lisbon-1224-45583-a.wav,It is the sound of a vehicle engine idling.,metro,bus,0.20264968,No
audio/street_traffic-london-270-8232-a.wav,The sound is of a vehicle engine idling loudly.,street_traffic,bus,0.24433044,No
audio/metro_station-paris-238-7061-a.wav,This is a low quality recording featuring distant murmuring and a man speaking over it. The recording is noisy and in mono.,metro_station,street_traffic,0.17221451,No
audio/metro_station-lyon-1167-45272-a.wav,"It is an ambient experimental electronic piece with a dark and meditative soundscape, including synthesizer, bass, drums, piano, and electric guitar.",metro_station,tram,0.14081246,No
audio/tram-paris-191-5846-a.wav,It is the sound of a vehicle running on railroad tracks.,tram,tram,0.28173706,Yes
audio/street_pedestrian-helsinki-146-4426-a.wav,"This is a low quality recording featuring a wide synth pad progression played over quiet, muffled drums and a simple bassline. There is also some crowd chattering in the background. The pad progression has a calming and relaxing aura to it.",street_pedestrian,street_traffic,0.16493896,No
audio/tram-stockholm-199-5992-a.wav,It is the sound of a vehicle moving.,tram,street_traffic,0.29322898,No
audio/metro_station-helsinki-64-1931-a.wav,This is a video game sound. There is a subway train running on railroad tracks passing by with a hissing noise.,metro_station,tram,0.3249393,No
audio/metro-milan-1197-44844-a.wav,A vehicle engine is idling.,metro,bus,0.25669044,No
audio/metro-milan-1218-45486-a.wav,It is the sound of a vehicle engine idling.,metro,bus,0.20264968,No
